id,artist_name,album_name,releaseDate,duration_ms_x,explicit,is_local,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Streams
6vsV4D8BM6PioRr1UOx0n2,Billie Eilish,you should see me in a crown,17730,180566,FALSE,FALSE,you should see me in a crown,70,0.479,0.697,0.552,0.127,1,0.147,-10.271,0,0.196,75.235,4,0.278,30741477
7DrluKkTviBwCc8AV3VGmf,Shakira,Clandestino,17690,231920,FALSE,FALSE,Clandestino,78,0.39,0.766,0.822,3.37E-05,1,0.349,-4.126,0,0.16,165.842,4,0.881,6080471
7MRY4VpCuZvBmFda6ZCk2G,The 1975,Love It If We Made It,17731,253249,TRUE,FALSE,Love It If We Made It,17,0.000718,0.479,0.727,1.97E-05,4,0.0644,-5.369,1,0.0357,180.09,4,0.0577,1702946
7rC5Pl8rQSX4myONQHYPBK,Drake,Scorpion,17711,205146,TRUE,FALSE,Mob Ties,77,0.0456,0.755,0.575,0.00124,4,0.276,-8.393,0,0.0678,85.987,4,0.49,41845522
0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,In My Mind,17690,184560,FALSE,FALSE,In My Mind,86,0.176,0.694,0.77,1.10E-05,6,0.118,-5.335,1,0.149,125.905,4,0.163,24300110
0ibOcbkp2XG46Do8jcy0bL,Smokepurpp,Nephew (feat. Lil Pump),17739,202962,TRUE,FALSE,Nephew (feat. Lil Pump),72,0.00422,0.792,0.454,0,9,0.285,-6.753,1,0.458,161.993,4,0.674,26265350
1ZAyjvIk9YiD76yYy0TEG6,Rich The Kid,The World Is Yours,17620,175229,TRUE,FALSE,Plug Walk,81,0.202,0.876,0.519,0,11,0.108,-6.531,1,0.143,94.981,4,0.158,54349682
2EgB4n6XyBsuNUbuarr4eG,Rich The Kid,The World Is Yours,17620,191937,TRUE,FALSE,New Freezer (feat. Kendrick Lamar),73,0.0405,0.884,0.698,0,0,0.195,-9.101,1,0.364,140.068,4,0.575,1453005
2LNMhZ3YijTO7USmqjgJfG,Denzel Curry,TA13OO,17739,231333,TRUE,FALSE,CLOUT COBAIN | CLOUT CO13A1N,68,0.591,0.794,0.448,0,10,0.109,-4.771,0,0.0539,120.055,4,0.588,1627856
2lYTJK94hb0fd1LQtb6Dhk,David Guetta,Don't Leave Me Alone (feat. Anne-Marie),17738,183750,FALSE,FALSE,Don't Leave Me Alone (feat. Anne-Marie),75,0.118,0.659,0.738,0,4,0.115,-5.072,0,0.0477,127.95,4,0.481,11334363
2VIPU72L6tIR4w8J8ap6Kp,Brett Young,Brett Young,17207,217120,FALSE,FALSE,Mercy,73,0.84,0.638,0.367,0,4,0.0999,-7.906,1,0.0266,71.957,4,0.219,1522243
